pc_time,esp_time,az
1771732448,212030,1.02
1771732448,212080,1.032
1771732448,212130,1.024
1771732448,212180,1.021
1771732448,212230,1.014
1771732448,212280,1.023
1771732448,212330,1.019
1771732448,212380,1.029
1771732448,212430,1.022
1771732448,212480,1.027
1771732448,212530,1.029
1771732448,212580,1.025
1771732448,212630,1.026
1771732448,212680,1.028
1771732448,212730,1.025
1771732448,212780,1.019
1771732449,212830,1.028
1771732449,212880,1.026
1771732449,212930,1.021
1771732449,212980,1.022
1771732449,213030,1.031
1771732449,213080,1.02
1771732449,213130,1.021
1771732449,213180,1.03
1771732449,213230,1.022
1771732449,213280,1.016
1771732449,213330,1.018
1771732449,213380,1.022
1771732449,213430,1.026
1771732449,213480,1.016
1771732449,213530,1.019
1771732449,213580,1.034
1771732449,213630,1.017
1771732449,213680,1.024
1771732449,213730,1.017
1771732449,213780,1.025
1771732449,213830,1.026
1771732450,213880,1.027
1771732450,213930,1.03
1771732450,213980,1.025
1771732450,214030,1.023
1771732450,214080,1.02
1771732450,214130,1.024
1771732450,214180,1.022
1771732450,214230,1.016
1771732450,214280,1.025
1771732450,214330,1.014
1771732450,214380,1.025
1771732450,214430,1.022
1771732450,214480,1.021
1771732450,214530,1.025
1771732450,214580,1.019
1771732450,214630,1.018
1771732450,214680,1.021
1771732450,214730,1.018
1771732450,214780,1.028
1771732450,214830,1.028
1771732451,214880,1.016
1771732451,214930,1.021
1771732451,214980,1.027
1771732451,215030,1.027
1771732451,215080,1.016
1771732451,215130,1.029
1771732451,215180,1.023
1771732451,215230,1.025
1771732451,215280,1.027
1771732451,215330,1.014
1771732451,215380,1.022
1771732451,215430,1.021
1771732451,215480,1.021
1771732452,215530,1.011
1771732452,215580,1.025
1771732452,215630,1.025
1771732452,215680,1.022
1771732452,215730,1.017
1771732452,215780,1.025
1771732452,215830,1.019
1771732452,215880,1.024
1771732452,215930,1.021
1771732452,215980,1.023
1771732452,216030,1.019
1771732452,216080,1.02
1771732452,216130,1.02
1771732452,216180,1.017
1771732452,216230,1.022
1771732452,216280,1.243
1771732452,216330,1.224
1771732452,216380,1.058
1771732452,216430,1.587
1771732452,216480,0.606
1771732452,216530,1.285
1771732452,216580,0.78
1771732452,216630,0.257
1771732452,216680,0.769
1771732452,216730,0.759
1771732452,216780,0.914
1771732453,216830,0.076
1771732453,216880,1.087
1771732453,216930,1.123
1771732453,216980,1.211
1771732453,217030,1.011
1771732453,217080,0.071
1771732453,217130,1.518
1771732453,217180,0.56
1771732453,217230,1.862
1771732453,217280,-0.51
1771732453,217330,-0.019
1771732453,217380,-0.079
1771732453,217430,-0.064
1771732453,217480,2
1771732453,217530,2
1771732453,217580,2
1771732453,217630,-0.251
1771732453,217680,0.062
1771732453,217730,1.105
1771732453,217780,1.769
1771732454,217830,0.788
1771732454,217880,1.574
1771732454,217930,0.732
1771732454,217980,-0.559
1771732454,218030,2
1771732454,218080,2
1771732454,218130,0.832
1771732454,218180,-0.411
1771732454,218230,0.976
1771732454,218280,-0.09
1771732454,218330,1.379
1771732454,218380,0.569
1771732454,218430,0.936
1771732454,218480,0.905
1771732454,218530,1.053
1771732454,218580,1.002
1771732454,218630,1.17
1771732454,218680,0.931
1771732454,218730,0.973
1771732454,218780,1.01
1771732454,218830,1.047
1771732455,218880,1.035
1771732455,218930,1.031
1771732455,218980,1.032
1771732455,219030,1.021
1771732455,219080,1.024
1771732455,219130,1.033
1771732455,219180,1.02
1771732455,219230,1.024
1771732455,219280,1.028
1771732455,219330,1.024
1771732455,219380,1.03
1771732455,219430,1.026
1771732455,219480,1.026
1771732455,219530,1.016
