pc_time,esp_time,az
1771647811,29636,1.033
1771647811,29686,1.032
1771647811,29736,1.028
1771647811,29786,1.041
1771647811,29836,1.025
1771647812,29886,1.035
1771647812,29936,1.02
1771647812,29986,1.028
1771647812,30036,1.031
1771647812,30086,1.032
1771647812,30136,1.027
1771647812,30186,1.024
1771647812,30236,1.03
1771647812,30286,1.028
1771647812,30336,1.034
1771647812,30386,1.026
1771647812,30436,1.033
1771647812,30486,1.031
1771647812,30536,1.022
1771647812,30586,1.021
1771647812,30636,1.027
1771647812,30686,1.027
1771647812,30736,1.027
1771647812,30786,1.025
1771647812,30836,1.026
1771647813,30886,1.029
1771647813,30936,1.035
1771647813,30986,1.03
1771647813,31036,1.035
1771647813,31086,1.035
1771647813,31136,1.024
1771647813,31186,1.031
1771647813,31236,1.03
1771647813,31286,1.03
1771647813,31336,1.026
1771647813,31386,1.027
1771647813,31436,1.035
1771647813,31486,1.031
1771647813,31536,1.038
1771647813,31586,1.03
1771647814,31636,1.027
1771647814,31686,1.027
1771647814,31736,1.028
1771647814,31786,1.023
1771647814,31836,1.025
1771647814,31886,1.028
1771647814,31936,1.037
1771647814,31986,1.023
1771647814,32036,1.031
1771647814,32086,1.019
1771647814,32136,1.033
1771647814,32186,1.024
1771647814,32236,1.024
1771647814,32286,1.031
1771647814,32336,1.028
1771647814,32386,1.029
1771647814,32436,1.028
1771647815,32486,1.03
1771647815,32536,1.02
1771647815,32586,1.021
1771647815,32636,1.03
1771647815,32686,1.025
1771647815,32736,1.031
1771647815,32786,1.023
1771647815,32836,1.028
1771647815,32886,1.034
1771647815,32936,1.03
1771647815,32986,1.036
1771647815,33036,1.022
1771647815,33086,1.029
1771647815,33136,1.024
1771647815,33186,1.022
1771647815,33236,1.029
1771647815,33286,1.036
1771647815,33336,1.027
1771647815,33386,1.025
1771647815,33436,1.03
1771647815,33486,1.026
1771647815,33536,1.028
1771647815,33586,1.023
1771647816,33636,1.028
1771647816,33686,1.029
1771647816,33736,1.025
1771647816,33786,1.034
1771647816,33836,1.027
1771647816,33886,1.027
1771647816,33936,1.031
1771647816,33986,1.032
1771647816,34036,1.036
1771647816,34086,1.024
1771647816,34136,1.03
1771647816,34186,1.024
1771647816,34236,1.027
1771647816,34286,1.026
1771647816,34336,1.033
1771647816,34386,1.03
1771647816,34436,1.031
1771647816,34486,0.834
1771647816,34536,1.075
1771647816,34586,1.331
1771647816,34636,0.584
1771647816,34686,1.055
1771647816,34736,1.118
1771647816,34786,0.699
1771647816,34836,1.026
1771647817,34886,1.262
1771647817,34936,0.837
1771647817,34986,0.389
1771647817,35036,0.893
1771647817,35086,1.399
1771647817,35136,0.818
1771647817,35186,0.093
1771647817,35236,-0.311
1771647817,35286,2
1771647817,35336,-0.042
1771647817,35386,1.326
1771647817,35436,0.179
1771647817,35486,-0.602
1771647817,35536,1.22
1771647817,35586,0.81
1771647817,35636,1.451
1771647817,35686,0.849
1771647817,35736,1.077
1771647818,35786,1.219
1771647818,35836,1.066
1771647818,35886,1.044
1771647818,35936,0.97
1771647818,35986,1.028
1771647818,36036,1.023
1771647818,36086,1.034
1771647818,36136,1.067
1771647818,36186,0.565
1771647818,36236,0.794
1771647818,36286,1.736
1771647818,36336,1.582
1771647818,36386,1.146
1771647818,36436,0.729
1771647818,36486,0.397
1771647818,36536,0.5
1771647818,36586,0.476
1771647818,36636,0.763
1771647818,36686,1.64
1771647818,36736,0.65
1771647818,36786,1.275
1771647818,36836,-0.047
1771647819,36886,0.195
1771647819,36936,2
1771647819,36986,0.142
1771647819,37036,0.899
1771647819,37086,1.87
1771647819,37136,1.187
1771647819,37186,0.964
1771647819,37236,1.079
1771647819,37286,0.75
1771647819,37336,0.315
1771647819,37386,0.254
1771647819,37436,1.527
1771647819,37486,0.177
1771647819,37536,1.357
1771647819,37586,0.305
1771647819,37636,2
1771647819,37686,1.634
1771647819,37736,0.965
1771647819,37786,0.949
1771647820,37836,0.573
1771647820,37886,1.273
1771647820,37936,0.555
1771647820,37986,1.024
1771647820,38036,1.036
1771647820,38086,0.979
1771647820,38136,1.024
1771647820,38186,1.033
1771647820,38236,1.021
1771647820,38286,1.03
1771647820,38336,1.025
1771647820,38386,1.031
1771647820,38436,1.036
1771647820,38486,1.122
1771647820,38536,0.824
1771647820,38586,1.027
1771647820,38636,0.87
1771647820,38686,1.182
1771647820,38736,1.315
1771647820,38786,1.421
1771647821,38836,0.794
1771647821,38886,1.087
1771647821,38936,0.632
1771647821,38986,1.644
1771647821,39036,0.474
1771647821,39086,1.28
1771647821,39136,1.715
1771647821,39186,0.846
1771647821,39236,0.217
1771647821,39286,0.53
1771647821,39336,1.427
1771647821,39386,1.054
1771647821,39436,0.925
1771647821,39486,0.414
1771647821,39536,2
1771647821,39586,0.882
1771647821,39636,0.573
1771647821,39686,0.289
1771647821,39736,1.529
1771647821,39786,1.55
1771647821,39836,2
1771647822,39886,0.225
1771647822,39936,1.43
1771647822,39986,-0.293
1771647822,40036,1.071
1771647822,40086,0.533
1771647822,40136,0.598
1771647822,40186,1.482
1771647822,40236,2
1771647822,40286,1.578
1771647822,40336,1.657
1771647822,40386,0.858
1771647822,40436,0.986
1771647822,40486,1.226
1771647822,40536,0.985
1771647822,40586,0.98
1771647822,40636,1.019
1771647822,40686,1.019
1771647822,40736,1.026
1771647822,40786,1.029
1771647822,40836,1.032
1771647823,40886,1.02
1771647823,40936,1.041
1771647823,40986,1.03
1771647823,41036,1.022
1771647823,41086,1.026
1771647823,41136,1.025
1771647823,41186,1.029
1771647823,41236,1.158
1771647823,41286,0.728
1771647823,41336,0.729
1771647823,41386,1.516
1771647823,41436,1.764
1771647823,41486,1.858
1771647823,41536,1.026
1771647823,41586,1.211
1771647823,41636,1.119
1771647823,41686,0.572
1771647823,41736,1.221
1771647823,41786,2
1771647824,41836,2
1771647824,41886,2
1771647824,41936,1.937
1771647824,41986,1.006
1771647824,42036,1.87
1771647824,42086,2
1771647824,42136,1.855
1771647824,42186,0.316
1771647824,42236,0.7
1771647824,42286,1.439
1771647824,42336,0.021
1771647824,42386,0.925
1771647824,42436,1.147
1771647824,42486,0.531
1771647824,42536,1.662
1771647824,42586,0.668
1771647824,42636,0.699
1771647824,42686,1.211
1771647824,42736,0.84
1771647824,42786,0.902
1771647825,42836,1.066
1771647825,42886,0.996
1771647825,42936,1.025
1771647825,42986,1.041
1771647825,43036,1.02
1771647825,43086,0.936
1771647825,43136,0.982
1771647825,43186,0.762
1771647825,43236,0.706
1771647825,43286,1.201
1771647825,43336,0.712
1771647825,43386,0.348
1771647825,43436,0.068
1771647825,43486,0.578
1771647825,43536,1.196
1771647825,43586,0.384
1771647826,43636,1.245
1771647826,43686,1.355
1771647826,43736,0.502
1771647826,43786,1.097
1771647826,43836,0.653
1771647826,43886,1.863
1771647826,43936,0.325
1771647826,43986,0.333
1771647826,44036,0.195
1771647826,44086,1.208
1771647826,44136,2
1771647826,44186,1.431
1771647826,44236,1.851
1771647826,44286,1.102
1771647826,44336,1.829
1771647826,44386,0.062
1771647826,44436,1.266
1771647826,44486,-0.438
1771647826,44536,1.106
1771647826,44586,0.919
1771647826,44636,0.141
1771647827,44686,0.858
1771647827,44736,0.772
1771647827,44786,1.555
1771647827,44836,0.301
1771647827,44886,1.181
1771647827,44936,0.886
1771647827,44986,1.096
1771647827,45036,0.595
1771647827,45086,1.411
1771647827,45137,-0.868
1771647827,45187,1.204
1771647827,45237,1.387
1771647827,45287,0.373
1771647827,45337,0.14
1771647827,45387,0.304
1771647827,45437,1.118
1771647827,45487,1.172
1771647827,45537,0.797
1771647827,45587,2
1771647827,45637,0.469
1771647827,45687,0.807
1771647827,45737,0.758
1771647828,45787,0.846
1771647828,45837,1.142
1771647828,45887,1.433
1771647828,45937,1.341
1771647828,45987,0.66
1771647828,46037,1.885
1771647828,46087,1.23
1771647828,46137,0.741
1771647828,46187,1.469
1771647828,46237,1.352
1771647828,46287,0.845
1771647828,46337,0.509
1771647828,46387,1.011
1771647828,46437,0.415
1771647828,46487,1.079
1771647828,46537,1.459
1771647828,46587,0.699
1771647828,46637,-0.647
1771647828,46687,-0.398
1771647829,46737,1.496
1771647829,46787,1.357
1771647829,46837,2
1771647829,46887,-1.102
1771647829,46937,1.948
1771647829,46987,0.661
1771647829,47037,2
1771647829,47087,0.798
1771647829,47137,1.054
1771647829,47187,1.041
1771647830,47237,1.009
1771647830,47287,1.026
1771647830,47337,1.026
1771647830,47387,1.026
1771647830,47437,1.032
1771647830,47487,1.03
1771647830,47537,1.042
1771647830,47587,1.026
1771647830,47637,1.031
1771647830,47687,1.018
1771647830,47737,1.019
1771647830,47787,1.026
1771647830,47837,1.033
1771647830,47887,1.029
1771647830,47937,1.028
1771647830,47987,1.039
1771647830,48037,1.029
1771647830,48087,1.025
1771647830,48137,1.02
1771647830,48187,1.029
1771647830,48237,1.031
1771647830,48287,1.037
1771647830,48337,0.933
1771647830,48387,1.643
1771647830,48437,1.699
1771647830,48487,0.908
1771647830,48537,1.116
1771647830,48587,1.245
1771647830,48637,1.081
1771647830,48687,1.216
1771647830,48737,1.229
1771647830,48787,1.125
1771647831,48837,0.481
1771647831,48887,0.212
1771647831,48937,0.541
1771647831,48987,1.527
1771647831,49037,1.395
1771647831,49087,1.146
1771647831,49137,0.496
1771647831,49187,0.33
1771647831,49237,1.354
