pc_time,esp_time,az
1771733395,428389,1.024
1771733395,428439,1.028
1771733395,428489,1.024
1771733395,428539,1.019
1771733395,428589,1.026
1771733395,428639,1.022
1771733395,428689,1.021
1771733395,428739,1.018
1771733395,428789,1.022
1771733395,428839,1.022
1771733395,428889,1.016
1771733395,428939,1.02
1771733396,428989,1.015
1771733396,429039,1.019
1771733396,429089,1.014
1771733396,429139,1.023
1771733396,429189,1.019
1771733396,429239,1.021
1771733396,429289,1.016
1771733396,429339,1.023
1771733396,429389,1.021
1771733396,429439,1.025
1771733396,429489,1.018
1771733396,429539,1.033
1771733396,429589,1.015
1771733396,429639,1.021
1771733396,429689,1.016
1771733396,429739,1.015
1771733396,429789,1.017
1771733396,429839,1.019
1771733397,429889,1.019
1771733397,429939,1.025
1771733397,429989,1.026
1771733397,430039,1.024
1771733397,430089,1.02
1771733397,430139,1.018
1771733397,430189,1.016
1771733397,430239,1.005
1771733397,430289,1.025
1771733397,430339,1.014
1771733397,430389,1.01
1771733397,430439,1.022
1771733397,430489,1.018
1771733397,430539,1.024
1771733397,430589,1.009
1771733397,430639,1.03
1771733397,430689,1.017
1771733397,430739,1.021
1771733397,430789,1.022
1771733397,430839,1.025
1771733397,430889,1.016
1771733397,430939,1.017
1771733398,430989,1.017
1771733398,431039,1.02
1771733398,431089,1.014
1771733398,431139,1.03
1771733398,431189,1.019
1771733398,431239,1.024
1771733398,431289,1.019
1771733398,431339,1.032
1771733398,431389,1.025
1771733398,431439,1.025
1771733398,431489,1.016
1771733398,431539,1.022
1771733398,431589,1.02
1771733398,431639,1.02
1771733398,431689,1.014
1771733398,431739,1.025
1771733399,431789,1.023
1771733399,431839,1.018
1771733399,431889,1.025
1771733399,431939,1.012
1771733399,431989,1.022
1771733399,432039,1.028
1771733399,432089,1.038
1771733399,432139,0.939
1771733399,432189,0.232
1771733399,432239,1.264
1771733399,432289,1.882
1771733399,432339,0.622
1771733399,432389,1.109
1771733399,432439,1.554
1771733399,432489,1.373
1771733399,432539,1.09
1771733399,432589,0.887
1771733399,432639,-0.021
1771733399,432689,0.567
1771733399,432739,1.581
1771733400,432789,1.045
1771733400,432839,1.492
1771733400,432889,2
1771733400,432939,0.82
1771733400,432989,0.17
1771733400,433039,0.767
1771733400,433089,2
1771733400,433139,0.917
1771733400,433189,2
1771733400,433239,1.681
1771733400,433289,2
1771733400,433339,-0.266
1771733400,433389,1.576
1771733400,433439,0.394
1771733400,433489,0.829
1771733400,433539,2
1771733400,433589,2
1771733400,433639,-2
1771733400,433689,-0.235
1771733400,433739,0.43
1771733400,433789,2
1771733400,433839,-1.935
1771733401,433889,0.777
1771733401,433939,1.287
1771733401,433989,0.435
1771733401,434039,2
1771733401,434089,-0.32
1771733401,434139,-2
1771733401,434189,2
1771733401,434239,1.205
1771733401,434289,0.121
1771733401,434339,1.672
1771733401,434389,-2
1771733401,434439,0.524
1771733401,434489,1.703
1771733401,434539,1.542
1771733401,434589,-0.169
1771733401,434639,1.318
1771733401,434689,1.422
1771733402,434739,0.683
1771733402,434789,1.718
1771733402,434839,-0.626
1771733402,434889,1.769
1771733402,434939,-0.154
1771733402,434989,1.373
1771733402,435039,1.799
1771733402,435089,1.396
1771733402,435139,1.396
1771733402,435189,0.832
1771733402,435239,0.992
1771733402,435289,0.575
1771733402,435339,1.001
1771733402,435389,1.231
1771733402,435439,0.68
1771733402,435489,0.864
1771733402,435539,0.767
1771733402,435589,0.994
1771733402,435639,0.958
1771733402,435689,1.037
1771733402,435739,1.027
1771733402,435789,1.022
1771733403,435839,1.013
1771733403,435889,0.965
1771733403,435939,0.765
1771733403,435989,1.08
1771733403,436039,1.142
1771733403,436089,0.707
1771733403,436139,0.309
1771733403,436189,0.744
1771733403,436239,1.721
