pc_time,esp_time,az
1771498067.4529297,46854,1.72
1771498067.4529297,46904,1.645
1771498067.4840896,46954,0.462
1771498067.5388477,47004,1.125
1771498067.5798771,47054,1.102
1771498067.6321986,47104,1.576
1771498067.7155306,47154,-0.572
1771498067.7387316,47204,0.75
1771498067.8344839,47254,0.813
1771498067.8344839,47304,1.011
1771498067.8863826,47354,0.854
1771498067.9820542,47404,0.871
1771498067.9820542,47454,1.241
1771498068.0533247,47504,0.088
1771498068.0892842,47554,0.428
1771498068.1508467,47604,0.024
1771498068.2526417,47654,-0.21
1771498068.2526417,47704,2.0
1771498068.3129961,47754,-1.487
1771498068.3437765,47804,0.149
1771498068.3917992,47854,-0.292
1771498068.4807696,47904,-0.215
1771498068.487881,47954,0.441
1771498068.5677521,48004,2.0
1771498068.5919387,48054,0.181
1771498068.663116,48104,1.011
1771498068.6903348,48154,-0.89
1771498068.7588308,48204,2.0
1771498068.9024017,48254,2.0
1771498068.9024017,48304,2.0
1771498068.9135287,48354,2.0
1771498068.9967155,48404,2.0
1771498068.9990103,48454,0.204
1771498069.0801105,48504,-0.247
1771498069.0801105,48554,0.775
1771498069.1593356,48604,1.772
1771498069.190971,48654,0.927
1771498069.2673078,48704,1.755
1771498069.283486,48754,0.973
1771498069.380226,48804,1.322
1771498069.4773726,48854,1.533
1771498069.4773726,48904,0.437
1771498069.5121377,48954,0.604
1771498069.5985487,49004,0.861
1771498069.622187,49054,-0.869
1771498069.6376119,49104,1.433
1771498069.6985397,49154,0.577
1771498069.7777357,49204,1.099
1771498069.7933257,49254,2.0
1771498069.8877108,49304,2.0
1771498069.8877108,49354,1.041
1771498069.935414,49404,0.397
1771498070.0346634,49454,2.0
1771498070.0419648,49504,0.626
1771498070.1351132,49554,-0.305
1771498070.149905,49604,1.41
1771498070.1900082,49654,0.42
1771498070.2450368,49704,0.905
1771498070.2992787,49754,0.393
1771498070.3639894,49804,2.0
1771498070.401124,49854,-0.007
1771498070.6238737,49904,0.323
1771498070.6491249,49954,1.497
1771498070.6636858,50004,2.0
1771498070.6720362,50054,2.0
1771498070.6775928,50104,1.292
1771498070.7097487,50154,0.32
1771498070.7415378,50204,-0.142
1771498070.8069713,50254,-1.619
1771498070.8457594,50304,0.89
1771498070.9171968,50354,-0.31
1771498070.9708672,50404,0.896
1771498071.052727,50454,0.27
1771498071.08165,50504,0.389
1771498071.13955,50554,2.0
1771498071.1999917,50604,0.62
1771498071.222763,50654,2.0
1771498071.2369347,50704,0.677
1771498071.306439,50754,-2.0
1771498071.3488705,50804,2.0
1771498071.4026263,50854,-0.764
1771498071.45721,50904,-0.285
1771498071.5120974,50954,2.0
1771498071.584359,51004,1.122
1771498071.592306,51054,2.0
1771498071.672694,51104,0.134
1771498071.68309,51154,0.613
1771498071.769725,51204,0.568
1771498071.7885573,51254,1.575
1771498071.847545,51304,0.535
1771498071.8914442,51354,0.212
1771498071.941571,51404,1.148
1771498071.9920487,51454,2.0
1771498072.0409148,51504,-0.553
1771498072.0902054,51554,0.785
1771498072.1421847,51604,-0.267
1771498072.2247145,51654,0.386
1771498072.2420514,51704,0.449
1771498072.3204434,51754,2.0
1771498072.3398972,51804,1.45
1771498072.3909037,51854,0.631
1771498072.4381206,51904,-0.193
1771498072.49032,51954,0.348
1771498072.569142,52004,2.0
1771498072.592958,52054,1.188
1771498072.6654844,52104,2.0
1771498072.6948137,52154,-1.243
1771498072.75388,52204,-0.539
1771498072.789655,52254,2.0
1771498072.8427663,52304,2.0
1771498072.886666,52354,0.791
1771498072.9588907,52404,0.118
1771498073.023448,52454,2.0
1771498073.0391006,52504,2.0
1771498073.1060638,52554,1.671
1771498073.1408377,52604,1.272
1771498073.2017763,52654,0.998
1771498073.2395148,52704,2.0
1771498073.279378,52754,2.0
1771498073.3395379,52804,-0.144
1771498073.3908043,52854,-0.827
1771498073.4731035,52904,-0.606
1771498073.4881632,52954,1.137
1771498073.5638916,53004,0.324
1771498073.597887,53054,1.574
1771498073.6459591,53104,-0.457
1771498073.6904168,53154,2.0
1771498073.740095,53204,0.309
1771498073.7856119,53254,1.449
1771498073.840235,53304,1.827
1771498073.9127185,53354,0.341
1771498073.9403834,53404,0.021
1771498074.0076191,53454,-0.69
1771498074.0404391,53504,2.0
1771498074.1050146,53554,0.111
1771498074.1508632,53604,0.704
1771498074.1826973,53654,0.348
1771498074.245935,53704,-0.605
1771498074.295954,53754,-1.244
1771498074.341413,53804,2.0
1771498074.3908272,53854,1.308
1771498074.4518561,53904,-0.198
1771498074.483507,53954,1.079
1771498074.5480945,54004,0.666
1771498074.59661,54054,1.127
1771498074.6449125,54104,1.192
1771498074.7066882,54154,1.14
1771498074.7415144,54204,0.924
1771498074.801717,54254,1.298
1771498074.841536,54304,0.96
1771498074.8968608,54354,1.657
1771498074.9635046,54404,0.828
1771498074.9950473,54454,0.584
1771498075.0555751,54504,1.21
1771498075.1045778,54554,1.125
1771498075.1451209,54604,0.11
1771498075.2305458,54654,1.561
1771498075.2315788,54704,1.201
1771498075.313786,54754,2.0
1771498075.3423908,54804,0.926
1771498075.4136584,54854,-0.086
1771498075.446613,54904,2.0
1771498075.517992,54954,1.0
1771498075.5358837,55004,1.867
1771498075.6154928,55054,1.438
1771498075.6486793,55104,-1.196
1771498075.7447026,55154,-0.108
1771498075.7447026,55204,1.036
1771498075.8294685,55254,2.0
1771498075.8406715,55304,0.216
1771498075.9300563,55354,2.0
1771498075.934073,55404,0.359
1771498075.9964688,55454,2.0
1771498076.0323126,55504,-1.578
1771498076.0973637,55554,-0.367
1771498076.1398485,55604,0.828
1771498076.3446236,55654,0.857
1771498076.3461435,55704,0.898
1771498076.3461435,55754,-0.198
1771498076.3461435,55804,1.264
1771498076.3904362,55854,0.727
1771498076.441355,55904,-0.292
1771498076.512873,55954,2.0
1771498076.536353,56004,2.0
