pc_time,esp_time,az
1771494669.2096956,203893,1.033
1771494669.2733724,203943,1.036
1771494669.2936513,203993,1.03
1771494669.3529787,204043,1.033
1771494669.3847077,204093,1.03
1771494669.4614215,204143,1.031
1771494669.49486,204193,1.034
1771494669.5576246,204243,1.034
1771494669.5902388,204293,1.033
1771494669.636996,204343,1.035
1771494669.7315862,204393,1.03
1771494669.7489183,204443,1.035
1771494669.810034,204493,1.039
1771494669.8359134,204543,1.034
1771494669.8883972,204593,1.032
1771494669.9514375,204643,1.024
1771494669.9910429,204693,1.035
1771494670.046651,204743,1.034
1771494670.092341,204793,1.031
1771494670.169986,204843,1.038
1771494670.2056162,204893,1.033
1771494670.2664764,204943,1.024
1771494670.295379,204993,1.032
1771494670.3622937,205043,1.041
1771494670.3876412,205093,1.034
1771494670.4420738,205143,1.033
1771494670.4911947,205193,1.029
1771494670.5340736,205243,1.036
1771494670.625591,205293,1.028
1771494670.9004905,205343,1.03
1771494670.9171724,205393,1.032
1771494670.942908,205443,1.027
1771494670.942908,205493,1.027
1771494670.942908,205543,1.035
1771494670.942908,205593,1.035
1771494670.9767277,205643,1.036
1771494670.9767277,205693,1.031
1771494671.072272,205743,1.031
1771494671.1014318,205793,1.025
1771494671.1680498,205843,1.027
1771494671.1829102,205893,1.034
1771494671.2452211,205943,1.035
1771494671.2929983,205993,1.024
1771494671.343187,206043,1.038
1771494671.4292104,206093,1.036
1771494671.4356825,206143,1.062
1771494671.524822,206193,1.046
1771494671.544461,206243,1.03
1771494671.607349,206293,1.032
1771494671.6438377,206343,1.036
1771494671.6856894,206393,1.043
1771494671.7325604,206443,1.037
1771494671.7942438,206493,1.031
1771494671.8403444,206543,1.032
1771494671.8892019,206593,1.038
1771494671.9688516,206643,1.024
1771494671.9899557,206693,1.033
1771494672.0476053,206743,1.029
1771494672.0952578,206793,1.035
1771494672.1530511,206843,1.041
1771494672.194405,206893,1.04
1771494672.2455049,206943,1.033
1771494672.3002596,206993,1.026
1771494672.3342116,207043,1.037
1771494672.4100718,207093,1.032
1771494672.506771,207143,1.032
1771494672.5165906,207193,1.028
1771494672.541866,207243,1.029
1771494672.5995464,207293,1.025
1771494672.6445415,207343,1.029
1771494672.694939,207393,1.04
1771494672.7405446,207443,1.034
1771494672.7910643,207493,1.029
1771494672.8728642,207543,1.034
1771494672.8837557,207593,1.04
1771494672.9474845,207643,1.032
1771494672.9944074,207693,1.036
1771494673.047299,207743,1.033
1771494673.089194,207793,1.038
1771494673.1469827,207843,1.029
1771494673.1837056,207893,1.036
1771494673.2350569,207943,1.037
1771494673.325962,207993,1.031
1771494673.341241,208043,1.03
1771494673.4089766,208093,1.035
1771494673.4387603,208143,1.03
1771494673.5379891,208193,1.034
1771494673.54706,208243,1.032
1771494673.5947764,208293,1.032
1771494673.6746747,208343,1.023
1771494673.6942337,208393,0.73
1771494673.769317,208443,0.721
1771494673.7852285,208493,1.153
1771494673.8710687,208543,0.977
1771494673.9057815,208593,1.744
1771494673.9801435,208643,1.452
1771494674.0206301,208693,0.515
1771494674.0689535,208743,-0.35
1771494674.1158068,208793,-0.57
1771494674.193641,208843,0.864
1771494674.197404,208893,1.018
1771494674.2361457,208943,0.485
1771494674.2891977,208993,1.93
1771494674.3873677,209043,0.688
1771494674.3930106,209093,1.935
1771494674.4779384,209143,0.821
1771494674.4779384,209193,2.0
1771494674.5462198,209243,0.63
1771494674.6220267,209293,0.956
1771494674.6362312,209343,1.083
1771494674.6987348,209393,0.357
1771494674.7443106,209443,0.995
1771494674.7941709,209493,0.314
1771494674.840275,209543,0.496
1771494674.8941903,209593,-0.055
1771494674.9628851,209643,1.301
1771494674.9989688,209693,2.0
1771494675.0598476,209743,-0.743
1771494675.0931911,209793,-0.434
1771494675.1560547,209843,1.492
1771494675.2270617,209893,1.694
1771494675.2434704,209943,1.676
1771494675.2956042,209993,1.569
1771494675.338745,210043,1.521
1771494675.4064455,210093,2.0
1771494675.4414153,210143,2.0
1771494675.5018756,210193,2.0
1771494675.562794,210243,0.554
1771494675.661195,210293,1.355
1771494675.663163,210343,1.727
1771494675.7273698,210393,1.83
1771494675.7401595,210443,0.453
1771494675.8362265,210493,1.514
1771494675.851392,210543,1.605
1771494675.943834,210593,1.247
1771494675.9468074,210643,1.266
1771494676.019408,210693,0.747
1771494676.0380337,210743,0.93
1771494676.1201873,210793,1.389
1771494676.1676707,210843,0.947
1771494676.2542684,210893,0.884
1771494676.2583125,210943,1.231
1771494676.3248556,210993,0.931
1771494676.3406029,211043,1.068
1771494676.4309797,211093,1.146
1771494676.4396722,211143,1.365
1771494676.5369308,211193,1.018
1771494676.542974,211243,1.587
1771494676.673687,211343,1.452
1771494676.6952302,211393,2.0
1771494676.7648954,211443,0.399
1771494676.7892163,211493,2.0
1771494676.851569,211543,1.573
1771494676.8796165,211593,2.0
1771494676.9389586,211643,2.0
1771494677.0276892,211693,0.985
1771494677.0453224,211743,1.408
1771494677.1447647,211793,-1.368
1771494677.1447647,211843,1.39
1771494677.208097,211893,1.121
1771494677.2711825,211943,0.772
1771494677.2936716,211993,1.378
1771494677.3614738,212043,1.275
