mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
1.02894,0.004675083,1.0289506,0.022,-0.06235224,0.20137791,52.93697,0.00575,1.02894,1.028,0.0,0.9884252,2.18564e-05,1.041,1.019,0,Dataset_Smooth.csv
1.02856,0.004600696,1.0285703,0.019,-0.56345475,0.034149032,52.897842,0.006,1.02856,1.029,0.0,0.9909155,2.11664e-05,1.038,1.019,0,Dataset_Smooth.csv
1.0312,0.051359516,1.0324782,0.497,27.3559,2.9462073,53.300564,0.006,1.0312,1.028,0.0,0.7757161,0.0026378,1.331,0.834,0,Dataset_Smooth.csv
0.92562,0.42849928,1.0199921,2.602,4.099337,-1.5233557,52.0192,0.19025,0.96382,1.0275,0.12,0.50999606,0.18361163,2.0,0.042,1,Dataset_Smooth.csv
0.87786,0.557973,1.0401789,2.602,0.26451734,-0.30091575,54.098602,0.631,0.91794,0.9345,0.16,0.52008945,0.3113339,2.0,0.042,1,Dataset_Smooth.csv
0.95028,0.47865424,1.0640216,2.047,-0.14094657,0.18073341,56.607098,0.537,0.95216,1.022,0.04,0.5320108,0.22910988,2.0,0.047,1,Dataset_Smooth.csv
0.9957,0.41975376,1.0805608,1.823,0.1802154,0.1731203,58.380585,0.38425,0.9957,1.0245,0.0,0.5402804,0.17619321,2.0,0.177,1,Dataset_Smooth.csv
1.04262,0.47628886,1.1462581,2.293,0.36096212,-0.1621005,65.69537,0.565,1.05434,1.028,0.04,0.57312906,0.22685108,2.0,0.217,1,Dataset_Smooth.csv
1.1858,0.5128352,1.2919449,2.293,0.20126122,-0.19670288,83.45608,0.55375,1.19752,1.031,0.04,0.64597243,0.26299995,2.0,0.225,1,Dataset_Smooth.csv
1.12542,0.46017054,1.2158648,1.979,-0.06955356,0.4277902,73.91635,0.363,1.12542,1.026,0.0,0.6079324,0.21175693,2.0,0.021,1,Dataset_Smooth.csv
0.91682,0.5248235,1.0564084,2.438,-0.00055311056,-0.07334262,55.79993,0.6095,0.93434,0.959,0.04,0.5282042,0.2754397,2.0,0.021,1,Dataset_Smooth.csv
0.85846,0.603841,1.0495607,2.868,0.2709255,-0.30463263,55.078876,0.83125,0.9107,0.872,0.08,0.52478033,0.36462393,2.0,0.062,1,Dataset_Smooth.csv
0.89372,0.68306446,1.1248611,3.102,1.1444446,-0.84183174,63.265625,0.7445,1.01432,0.872,0.12,0.56243056,0.46657708,2.0,0.14,1,Dataset_Smooth.csv
0.9976,0.549938,1.1391389,3.102,5.1519227,-1.5800241,64.88188,0.06325,1.08348,1.029,0.08,0.56956947,0.30243185,2.0,0.398,1,Dataset_Smooth.csv
1.02902,0.42663866,1.1139581,2.068,1.3416605,-0.43552348,62.045135,0.1215,1.0327,1.0305,0.04,0.55697906,0.18202055,2.0,0.024,1,Dataset_Smooth.csv
1.0194,0.6185661,1.1923927,2.84,0.29199076,-0.609722,71.09002,0.85175,1.05668,1.1205,0.08,0.59619635,0.38262403,2.0,0.024,1,Dataset_Smooth.csv
1.0235,0.45072666,1.11835,2.84,5.612545,-1.2895973,62.53534,0.14075,1.0571,1.0295,0.04,0.559175,0.20315453,2.0,0.085,1,Dataset_Smooth.csv
