pc_time,esp_time,az
1771652770,63327,1.034
1771652770,63377,1.031
1771652770,63427,1.03
1771652770,63527,1.027
1771652770,63577,1.028
1771652770,63627,1.026
1771652770,63677,1.029
1771652770,63727,1.019
1771652770,63777,1.029
1771652770,63827,1.031
1771652770,63877,1.04
1771652770,63927,1.032
1771652770,63977,1.025
1771652770,64027,1.026
1771652770,64077,1.028
1771652771,64127,1.031
1771652771,64177,1.033
1771652771,64227,1.026
1771652771,64277,1.023
1771652771,64327,1.029
1771652771,64377,1.033
1771652771,64427,1.032
1771652771,64477,1.024
1771652771,64527,1.033
1771652771,64577,1.031
1771652771,64627,1.032
1771652771,64677,1.029
1771652771,64727,1.041
1771652771,64777,1.026
1771652771,64827,1.03
1771652771,64877,1.022
1771652771,64927,1.028
1771652771,64977,1.036
1771652771,65027,1.026
1771652771,65077,1.037
1771652772,65127,1.017
1771652772,65177,1.032
1771652772,65227,1.032
1771652772,65277,1.023
1771652772,65327,1.036
1771652772,65377,1.031
1771652772,65427,1.03
1771652772,65477,1.03
1771652772,65527,1.028
1771652772,65577,1.031
1771652772,65627,1.034
1771652772,65677,1.036
1771652772,65727,1.03
1771652772,65777,1.027
1771652772,65827,1.037
1771652772,65877,1.025
1771652772,65927,1.027
1771652772,65977,1.033
1771652772,66027,1.025
1771652772,66077,1.023
1771652773,66127,1.03
1771652773,66177,1.037
1771652773,66227,1.029
1771652773,66277,1.03
1771652773,66327,1.03
1771652773,66377,1.034
1771652773,66427,1.021
1771652773,66477,1.034
1771652773,66527,1.018
1771652773,66577,1.036
1771652773,66627,1.034
1771652773,66677,1.024
1771652773,66727,1.029
1771652773,66777,1.026
1771652773,66827,1.023
1771652773,66877,1.033
1771652774,66927,1.032
1771652774,66977,1.032
1771652774,67027,1.031
1771652774,67077,1.031
1771652774,67127,1.033
1771652774,67177,1.027
1771652774,67227,1.035
1771652774,67277,1.016
1771652774,67327,1.029
1771652774,67377,1.024
1771652774,67427,1.028
1771652774,67477,1.028
1771652774,67527,1.033
1771652774,67577,1.028
1771652774,67627,1.031
1771652774,67677,1.026
1771652774,67727,1.03
1771652774,67777,1.032
1771652774,67827,1.03
1771652774,67877,1.034
1771652774,67927,1.04
1771652774,67977,1.032
1771652774,68027,1.027
1771652774,68077,1.034
1771652775,68127,1.026
1771652775,68177,1.028
1771652775,68227,1.033
1771652775,68277,1.026
1771652775,68327,1.031
1771652775,68377,1.028
1771652775,68427,1.028
1771652775,68477,1.031
1771652775,68527,1.023
1771652775,68577,1.024
1771652775,68627,1.026
1771652775,68677,1.023
1771652775,68727,1.037
1771652775,68777,1.027
1771652775,68827,1.031
1771652775,68877,1.029
1771652775,68927,1.034
1771652775,68977,1.029
1771652775,69027,1.031
1771652775,69077,1.029
1771652776,69127,1.032
1771652776,69177,1.027
1771652776,69227,1.029
1771652776,69277,1.028
1771652776,69327,1.019
1771652776,69377,1.031
1771652776,69427,1.03
1771652776,69477,1.029
1771652776,69527,1.028
1771652776,69577,1.031
1771652776,69627,1.028
1771652776,69677,1.028
1771652776,69727,1.028
1771652776,69777,1.029
1771652776,69827,1.032
1771652776,69877,1.044
1771652776,69927,1.023
1771652776,69977,1.021
1771652776,70027,1.027
1771652777,70127,1.03
1771652777,70177,1.251
1771652777,70227,0.753
1771652777,70277,-0.183
1771652777,70327,2
1771652777,70377,0.326
1771652777,70427,-0.729
1771652777,70477,1.633
1771652777,70527,0.922
1771652777,70577,2
1771652777,70627,1.997
1771652777,70677,1.967
1771652777,70727,0.705
1771652777,70777,-1.458
1771652777,70827,2
1771652777,70877,1.952
1771652777,70927,1.355
1771652777,70977,-0.128
1771652777,71027,0.044
1771652778,71077,2
1771652778,71127,0.628
1771652778,71177,1.689
1771652778,71227,1.489
1771652778,71277,0.938
1771652778,71327,2
1771652778,71377,1.15
1771652778,71427,-0.234
1771652778,71477,1.301
1771652778,71527,0.774
1771652778,71577,0.855
1771652778,71627,0.184
1771652778,71677,0.792
1771652778,71727,0.932
1771652779,71777,0.901
1771652779,71827,1.104
1771652779,71877,0.939
1771652779,71927,1.016
1771652779,71977,1.044
1771652779,72027,1.008
1771652779,72077,1.032
1771652779,72127,1.203
1771652779,72177,0.689
1771652779,72227,0.214
1771652779,72277,0.923
1771652779,72327,-1.02
1771652779,72377,1.503
1771652779,72427,0.382
1771652779,72477,0.556
1771652779,72527,-0.292
1771652779,72577,0.709
1771652779,72627,1.74
1771652779,72677,1.193
1771652779,72727,-2
1771652779,72777,0.403
1771652779,72827,2
1771652779,72877,1.073
1771652779,72927,-0.267
1771652779,72977,2
1771652779,73027,0.396
1771652780,73077,1.85
1771652780,73127,1.426
1771652780,73177,0.133
1771652780,73227,0.74
1771652780,73277,-0.255
1771652780,73327,2
1771652780,73377,2
1771652780,73427,0.65
1771652780,73477,0.822
1771652780,73527,0.386
1771652780,73577,1.399
1771652780,73627,0.991
1771652780,73677,1.896
1771652780,73727,1.646
1771652780,73777,0.431
1771652780,73827,1.417
1771652781,73877,1.232
1771652781,73927,-0.604
1771652781,73977,0.048
1771652781,74027,-0.269
1771652781,74077,2
1771652781,74127,2
1771652781,74177,2
1771652781,74227,2
1771652781,74277,0.875
1771652781,74327,-1.665
1771652781,74377,-0.042
1771652781,74427,-1.216
1771652781,74477,-0.329
1771652781,74527,1.053
1771652781,74577,-0.933
1771652781,74627,1.843
1771652781,74677,2
1771652781,74727,2
1771652781,74777,1.567
1771652781,74827,0.787
1771652781,74877,0.634
1771652781,74927,2
1771652781,74977,1.36
1771652782,75027,-2
1771652782,75077,2
1771652782,75127,0.456
1771652782,75177,0.563
1771652782,75227,-1.119
1771652782,75277,0.201
1771652782,75327,-0.039
1771652782,75377,0.816
1771652782,75427,0.833
1771652782,75477,0.701
1771652782,75527,0.781
1771652782,75577,1.038
1771652782,75627,0.03
1771652782,75677,2
1771652782,75727,0.547
1771652782,75777,1.725
1771652782,75827,2
1771652782,75877,1.791
1771652782,75927,2
1771652783,75977,1.136
1771652783,76027,0.607
1771652783,76077,0.72
1771652783,76127,0.68
1771652783,76177,1.278
1771652783,76227,1.541
1771652783,76277,0.782
1771652783,76327,-0.065
1771652783,76377,1.818
1771652783,76427,0.448
1771652783,76477,-0.953
1771652783,76527,2
1771652783,76577,2
1771652783,76627,-0.792
1771652783,76677,0.731
1771652783,76727,1.473
1771652783,76777,-0.32
1771652783,76827,0.339
1771652783,76877,-1.242
1771652783,76927,0.077
1771652783,76977,0.857
1771652783,77027,-0.973
1771652784,77077,-1.064
1771652784,77127,1.109
1771652784,77177,0.717
1771652784,77227,2
1771652784,77277,1.341
1771652784,77327,0.746
1771652784,77377,1.552
1771652784,77427,0.721
1771652784,77477,0.534
1771652784,77527,-0.557
1771652784,77577,1.044
1771652784,77627,0.597
1771652784,77677,0.805
1771652784,77727,-0.301
1771652784,77777,2
1771652784,77827,1.055
1771652784,77877,0.525
1771652784,77927,-1.271
1771652784,77977,2
1771652785,78027,0.963
1771652785,78077,0.441
1771652785,78127,-0.931
1771652785,78177,0.125
1771652785,78227,2
1771652785,78277,2
1771652785,78327,0.28
1771652785,78377,-1.061
1771652785,78427,0.441
1771652785,78477,-0.619
1771652785,78527,-0.912
1771652785,78577,0.796
1771652785,78627,0.561
1771652785,78677,1.136
1771652785,78727,1.161
1771652785,78777,1.042
1771652785,78827,1.042
1771652785,78877,1.046
1771652785,78927,0.99
1771652785,78977,1.056
1771652786,79027,1.228
1771652786,79077,1.211
1771652786,79127,0.825
1771652786,79177,1.037
1771652786,79227,0.927
1771652786,79277,0.808
1771652786,79327,-1.073
1771652786,79377,0.257
1771652786,79427,1.371
1771652786,79477,1.675
1771652786,79527,2
1771652786,79577,1.799
1771652786,79627,0.035
1771652786,79677,0.514
1771652786,79727,1.752
1771652786,79777,1.844
1771652786,79827,1.005
1771652786,79877,1.732
1771652787,79927,1.846
1771652787,79977,1.663
1771652787,80027,1.561
