pc_time,esp_time,az
1771653133,426877,1.023
1771653133,426927,1.028
1771653133,426977,1.027
1771653133,427027,1.023
1771653134,427077,1.024
1771653134,427127,1.027
1771653134,427177,1.024
1771653134,427227,1.028
1771653134,427277,1.018
1771653134,427327,1.029
1771653134,427377,1.024
1771653134,427427,1.031
1771653134,427477,1.029
1771653134,427527,1.021
1771653134,427577,1.025
1771653134,427627,1.013
1771653134,427677,1.033
1771653134,427727,1.018
1771653134,427777,1.019
1771653134,427827,1.026
1771653134,427877,1.026
1771653134,427927,1.029
1771653134,427977,1.023
1771653134,428027,1.027
1771653135,428077,1.032
1771653135,428127,1.034
1771653135,428177,1.035
1771653135,428227,1.024
1771653135,428277,1.021
1771653135,428327,1.017
1771653135,428377,1.029
1771653135,428427,1.026
1771653135,428477,1.019
1771653135,428527,1.023
1771653135,428577,1.029
1771653135,428627,1.022
1771653135,428677,1.029
1771653135,428727,1.02
1771653135,428777,1.017
1771653135,428827,1.025
1771653135,428877,1.023
1771653136,428927,1.031
1771653136,428977,1.031
1771653136,429027,1.024
1771653136,429077,1.025
1771653136,429127,1.012
1771653136,429177,1.03
1771653136,429227,1.029
1771653136,429277,1.025
1771653136,429327,1.015
1771653136,429377,1.024
1771653136,429427,1.027
1771653136,429477,1.032
1771653136,429527,1.028
1771653136,429577,1.022
1771653136,429627,1.026
1771653136,429677,1.018
1771653136,429727,1.028
1771653136,429777,1.03
1771653137,429827,1.026
1771653137,429877,1.024
1771653137,429927,1.021
1771653137,429977,1.031
1771653137,430027,1.023
1771653137,430077,1.018
1771653137,430127,1.028
1771653137,430177,1.019
1771653137,430227,1.035
1771653137,430277,1.028
1771653137,430327,1.024
1771653137,430377,1.025
1771653137,430427,1.019
1771653137,430477,1.031
1771653137,430527,1.026
1771653137,430577,1.017
1771653137,430627,1.018
1771653137,430677,1.035
1771653137,430727,1.022
1771653137,430777,1.03
1771653137,430827,1.023
1771653138,430877,1.03
1771653138,430927,1.027
1771653138,430977,1.024
1771653138,431027,1.026
1771653138,431077,1.028
1771653138,431127,1.028
1771653138,431177,1.026
1771653138,431227,1.024
1771653138,431277,1.026
1771653138,431327,1.083
1771653138,431377,2
1771653138,431427,1.573
1771653138,431477,-0.107
1771653138,431527,2
1771653138,431577,1.756
1771653138,431627,1.016
1771653138,431677,2
1771653138,431727,1.667
1771653138,431777,0.994
1771653138,431827,1.39
1771653139,431877,0.897
1771653139,431927,1.228
1771653139,431977,2
1771653139,432027,1.165
1771653139,432077,2
1771653139,432127,0.463
1771653139,432177,-0.573
1771653139,432227,1.86
1771653139,432277,2
1771653139,432327,1.708
1771653139,432377,-0.528
1771653139,432427,0.319
1771653139,432477,0.396
1771653139,432527,-1.582
1771653139,432577,0.486
1771653139,432627,0.969
1771653139,432677,0.385
1771653139,432727,1.545
1771653139,432777,-2
1771653139,432827,-1.14
1771653140,432877,-0.251
1771653140,432927,0.717
1771653140,432977,-1.194
1771653140,433027,2
1771653140,433077,2
1771653140,433127,1.667
1771653140,433177,0.321
1771653140,433227,-0.442
1771653140,433277,0.254
1771653140,433327,0.542
1771653140,433377,2
1771653140,433427,2
1771653140,433477,0.598
1771653140,433527,0.917
1771653140,433577,0.347
1771653140,433627,1.909
1771653140,433677,1.326
1771653140,433727,1.04
1771653140,433777,0.942
1771653140,433827,1.226
1771653140,433877,1.046
1771653141,433927,0.927
1771653141,433977,1.076
1771653141,434027,1.01
1771653141,434077,1.06
1771653141,434127,1.027
1771653141,434177,0.85
1771653141,434227,1.076
1771653141,434277,0.675
1771653141,434327,0.925
1771653141,434377,0.664
1771653141,434427,1.348
1771653141,434477,1.156
1771653141,434527,0.849
1771653141,434577,1.181
1771653141,434627,0.544
1771653141,434677,0.088
1771653141,434727,1.287
1771653141,434777,1.285
1771653141,434827,0.534
1771653141,434877,1.449
1771653141,434927,1.308
1771653141,434977,0.936
1771653141,435027,0.053
1771653142,435077,-0.258
1771653142,435127,1.451
1771653142,435177,2
1771653142,435227,-0.416
1771653142,435277,0.025
1771653142,435327,1.448
1771653142,435377,0.198
1771653142,435427,1.021
1771653142,435477,0.603
1771653142,435527,0.943
1771653142,435577,-0.443
1771653142,435627,-0.045
1771653143,435677,1.07
1771653143,435727,1.137
1771653143,435777,1.716
1771653143,435827,2
1771653143,435877,2
1771653143,435927,0.195
1771653143,435977,2
1771653143,436027,-0.934
1771653143,436077,1.297
1771653143,436127,-0.334
1771653143,436177,0.5
1771653143,436227,1.548
1771653143,436277,2
1771653143,436327,1.295
1771653143,436377,1.062
1771653143,436427,0.044
1771653143,436477,2
1771653143,436527,0.41
1771653143,436577,1.835
1771653143,436627,0.072
1771653143,436677,0.877
1771653143,436727,0.902
1771653143,436777,0.994
1771653143,436827,0.99
1771653143,436877,1.153
1771653143,436927,1.231
1771653143,436977,0.927
1771653144,437027,1.048
1771653144,437077,0.49
1771653144,437127,0.958
1771653144,437177,0.963
1771653144,437227,0.917
1771653144,437277,1.527
1771653144,437327,0.835
1771653144,437377,0.925
1771653144,437427,1.264
1771653144,437477,-0.048
1771653144,437527,2
1771653144,437577,0.633
1771653144,437627,0.117
1771653144,437677,1.284
1771653144,437727,1.061
1771653144,437777,1.351
1771653144,437827,0.483
1771653144,437877,0.533
1771653144,437927,0.288
1771653145,437977,2
1771653145,438027,-0.365
1771653145,438077,2
1771653145,438127,0.615
1771653145,438177,1.614
1771653145,438227,2
1771653145,438277,1.181
1771653145,438327,-0.394
1771653145,438377,0.587
1771653145,438427,0.307
1771653145,438477,1.999
1771653145,438527,2
1771653145,438577,-1.172
1771653145,438627,-1.731
1771653145,438677,-0.634
1771653145,438727,-0.339
1771653146,438777,1.1
1771653146,438827,-0.696
1771653146,438877,0.116
1771653146,438927,2
1771653146,438977,0.383
1771653146,439027,1.333
1771653146,439077,0.347
1771653146,439127,1.305
1771653146,439177,0.579
1771653146,439227,1.445
1771653146,439277,-0.147
1771653146,439327,1.363
1771653146,439377,2
1771653146,439427,2
1771653146,439477,1.163
1771653146,439527,0.605
1771653146,439577,1.085
1771653146,439627,0.976
1771653146,439677,0.98
1771653146,439727,1.022
1771653146,439777,1.037
1771653146,439827,1.03
1771653146,439877,1.03
1771653147,439927,1.022
1771653147,439977,1.031
1771653147,440027,1.04
1771653147,440077,1.032
1771653147,440127,1.04
1771653147,440177,1.032
1771653147,440227,1.061
1771653147,440277,0.622
1771653147,440327,0.719
1771653147,440377,0.486
1771653147,440427,1.228
1771653147,440477,0.805
1771653147,440527,1.177
1771653147,440577,1.47
1771653147,440627,1.1
1771653147,440677,0.813
1771653147,440727,-0.028
1771653147,440777,-0.713
1771653147,440827,2
1771653147,440877,1.911
1771653147,440927,-0.002
1771653147,440977,-0.341
1771653148,441027,-0.02
1771653148,441077,2
1771653148,441127,2
1771653148,441177,2
1771653148,441227,2
1771653148,441277,1.259
1771653148,441327,0.721
1771653148,441377,0.989
1771653148,441427,1
1771653148,441477,1.005
1771653148,441527,1.025
1771653148,441577,1.049
1771653148,441627,1.021
1771653148,441677,1.041
1771653148,441727,1.035
1771653148,441777,1.041
1771653149,441827,1.031
1771653149,441877,1.031
1771653149,441927,1.027
1771653149,441977,1.005
1771653149,442027,2
1771653149,442077,1.031
1771653149,442127,1.188
1771653149,442177,0.277
1771653149,442227,0.795
1771653149,442277,1.071
1771653149,442327,1.172
1771653149,442427,1.157
1771653149,442477,1.287
1771653149,442527,1.163
1771653149,442577,0.85
1771653149,442627,1.135
1771653149,442677,1.277
1771653149,442727,1.238
1771653149,442777,0.024
1771653149,442827,1.913
1771653149,442877,0.751
1771653149,442927,-0.031
1771653149,442977,0.513
1771653150,443027,0.702
1771653150,443077,1.058
1771653150,443127,0.91
1771653150,443177,1.198
1771653150,443227,0.971
1771653150,443277,0.623
1771653150,443327,1.211
1771653150,443377,-0.476
1771653150,443427,1.133
1771653150,443477,0.544
1771653150,443527,2
1771653150,443577,1.589
1771653150,443627,1.293
1771653150,443677,0.832
1771653150,443727,-0.675
1771653150,443777,-2
1771653150,443827,0.152
1771653150,443877,1.321
1771653150,443927,0.547
1771653151,443977,0.611
1771653151,444027,1.472
1771653151,444077,2
1771653151,444127,1.111
1771653151,444177,0.823
1771653151,444227,1.751
1771653151,444277,1.101
1771653151,444327,0.136
1771653151,444377,0.668
1771653151,444427,1.354
1771653151,444477,0.566
1771653151,444527,1.163
1771653151,444577,0.526
1771653151,444627,2
1771653151,444677,1.636
1771653151,444727,0.29
1771653152,444777,1.6
1771653152,444827,0.405
1771653152,444877,-0.243
1771653152,444927,0.416
1771653152,444977,-0.731
1771653152,445027,0.181
1771653152,445077,1.693
1771653152,445127,0.968
1771653152,445177,1.104
1771653152,445227,1.458
1771653152,445277,2
1771653152,445327,2
1771653152,445377,0.147
1771653152,445427,0.582
1771653152,445477,-0.869
1771653152,445527,1.093
1771653152,445577,-0.223
1771653152,445627,-0.102
1771653152,445677,1.956
1771653152,445727,-0.166
1771653152,445777,-0.602
1771653153,445827,1.697
1771653153,445877,0.68
1771653153,445927,2
1771653153,445977,0.377
1771653153,446027,2
1771653153,446077,0.723
1771653153,446127,-0.501
1771653153,446177,1.101
1771653153,446227,-1.036
1771653153,446277,1.074
1771653153,446327,-0.421
1771653153,446377,-2
1771653153,446427,-2
1771653153,446477,2
1771653153,446527,-2
1771653153,446577,-0.335
1771653153,446627,0.323
1771653153,446677,0.953
1771653154,446727,2
1771653154,446777,2
1771653154,446827,-0.26
1771653154,446877,2
1771653154,446927,1.317
1771653154,446977,-1.348
1771653154,447027,2
1771653154,447077,1.685
1771653154,447127,2
1771653154,447177,-0.458
1771653154,447227,-0.012
1771653154,447277,0.466
1771653154,447327,0.263
1771653154,447377,2
1771653154,447427,0.809
1771653154,447477,0.795
1771653154,447527,1.445
1771653154,447577,0.785
1771653154,447627,0.993
1771653154,447677,1.141
1771653154,447727,0.985
1771653154,447777,0.995
1771653155,447827,1.039
1771653155,447877,1.012
1771653155,447927,1.03
1771653155,447977,1.021
1771653155,448027,1.028
1771653155,448077,1.015
1771653155,448127,1.023
1771653156,448177,1.028
1771653156,448227,1.041
1771653156,448277,0.957
1771653156,448377,0.97
1771653156,448427,0.99
