pc_time,esp_time,az
1771498723.6916192,89182,0.548
1771498723.719248,89232,0.702
1771498723.7776012,89282,1.14
1771498723.8204267,89332,0.824
1771498724.380708,89382,1.239
1771498724.380708,89432,0.917
1771498724.380708,89482,0.635
1771498724.380708,89532,0.781
1771498724.380708,89582,-0.017
1771498724.380708,89632,0.707
1771498724.380708,89682,1.504
1771498724.380708,89732,1.293
1771498724.380708,89782,-0.344
1771498724.380708,89832,1.265
1771498724.380708,89882,1.922
1771498724.4240956,89932,-0.086
1771498724.4716477,89982,1.666
1771498724.5845091,90032,1.355
1771498724.5859182,90082,1.56
1771498724.6843224,90132,1.41
1771498724.717921,90182,0.273
1771498724.717921,90232,-0.912
1771498724.80681,90282,-0.831
1771498724.823549,90332,0.169
1771498724.885675,90382,-0.45
1771498724.9227502,90432,0.189
1771498724.9971576,90482,0.837
1771498725.060697,90532,1.225
1771498725.0926418,90582,-0.925
1771498725.1510956,90632,2.0
1771498725.1936996,90682,0.232
1771498725.2413685,90732,1.741
1771498725.3183296,90782,-0.311
1771498725.3183296,90832,-0.532
1771498725.4164655,90882,2.0
1771498725.4188952,90932,0.325
1771498725.4946916,90982,-1.171
1771498725.5179224,91032,0.469
1771498725.6013608,91082,0.372
1771498725.6204855,91132,1.404
1771498725.7062292,91182,1.327
1771498725.7534392,91232,1.69
1771498725.8439937,91282,0.795
1771498725.8439937,91332,0.875
1771498725.8711338,91382,0.648
1771498726.1204274,91432,0.996
1771498726.1204274,91482,1.29
1771498726.1204274,91532,0.759
1771498726.1233048,91582,1.411
1771498726.1233048,91632,0.543
1771498726.169177,91682,1.164
1771498726.2290492,91732,-0.054
1771498726.2693133,91782,0.356
1771498726.35108,91832,1.25
1771498726.3726447,91882,0.97
1771498726.442848,91932,0.935
1771498726.4720457,91982,1.8
1771498726.5177097,92032,1.549
1771498726.5707786,92082,0.6
1771498726.6258657,92132,1.303
1771498726.7312825,92182,0.909
1771498726.7765083,92232,1.109
1771498726.7848473,92282,-1.132
1771498726.8316498,92332,0.99
1771498726.8728523,92382,-1.062
1771498726.9529035,92432,-0.048
1771498726.9714537,92482,0.361
1771498727.0384748,92532,1.568
1771498727.0726264,92582,1.909
1771498727.1356025,92632,2.0
1771498727.173704,92682,1.85
1771498727.2508101,92732,1.323
1771498727.2937791,92782,0.427
1771498727.383185,92832,1.22
1771498727.4091663,92882,2.0
1771498727.462994,92932,2.0
1771498727.473629,92982,1.244
1771498727.5503,93032,0.885
1771498727.5722682,93082,2.0
1771498727.6528041,93132,0.757
1771498727.674757,93182,1.072
1771498727.751383,93232,1.155
1771498727.7711549,93282,0.817
1771498727.854476,93332,0.969
1771498727.8965225,93382,1.05
1771498727.9837677,93432,0.543
1771498727.9837677,93482,0.939
1771498728.0209255,93532,0.735
1771498728.0670726,93582,1.033
1771498728.1675313,93632,1.938
1771498728.1675313,93682,1.897
1771498728.2697139,93732,-0.128
1771498728.2697139,93782,0.179
1771498728.3694093,93832,0.606
1771498728.4082875,93882,0.731
1771498728.4184206,93932,0.438
1771498728.5269248,93982,1.301
1771498728.5729868,94032,-0.039
1771498728.5729868,94082,0.41
1771498728.6228313,94132,1.326
1771498728.6721904,94182,2.0
1771498728.8823967,94232,0.865
1771498728.8823967,94282,0.579
1771498728.8823967,94332,-0.617
1771498728.8823967,94382,0.414
1771498728.9176202,94432,1.967
1771498729.0133467,94482,0.124
1771498729.0133467,94532,0.854
1771498729.0925963,94582,-0.698
1771498729.117708,94632,0.323
1771498729.1877172,94682,0.525
1771498729.2624936,94732,0.932
1771498729.2843208,94782,1.927
1771498729.3503737,94832,1.228
1771498729.3782535,94882,0.53
1771498729.4303563,94932,0.672
1771498729.5223634,94982,1.633
1771498729.5223634,95032,0.818
1771498729.5999784,95082,0.787
1771498729.618297,95132,0.959
1771498729.6973042,95182,0.881
1771498729.7108607,95232,1.044
1771498729.7918625,95282,0.697
1771498729.8162634,95332,0.36
1771498729.9015343,95382,0.856
1771498729.9514701,95432,1.26
1771498730.034729,95482,1.774
1771498730.0447743,95532,1.695
1771498730.124124,95582,1.562
1771498730.124124,95632,1.976
1771498730.1642234,95682,0.361
1771498730.2193155,95732,1.127
1771498730.2989862,95782,0.515
1771498730.315184,95832,0.915
1771498730.3644118,95882,1.215
1771498730.4104044,95932,2.0
1771498730.4644608,95982,2.0
1771498730.5379326,96032,1.453
1771498730.5697668,96082,0.424
1771498730.6336672,96132,0.941
1771498730.6694567,96182,1.235
1771498730.7193706,96232,0.745
1771498730.770949,96282,0.573
